DAF,3,3,3,3,1,2,3,2,1,2,2,2,1
DIPRO,2,3,1,2,3,2,3,3,2,1,2,1,3
GP,1,3,2,2,3,2,2,2,3,2,3,2,1
MKT,2,3,2,2,2,3,2,3,1,3,2,1,2
NEG,2,3,1,2,3,3,3,3,2,1,1,1,3
PRESINST,1,2,2,3,1,2,2,2,3,2,3,2,3
PRESORG,2,3,1,3,2,1,2,3,2,3,1,3,2
